phase,ap_mag,freq,fr_sep,amp,pow_ex,temp,grav,metal,rad,mass
HeB,13.81,34.2,4.086,120.8,15.6,4938,2.448,-0.21,33.339999999999996,3.79
RGB,10.2,13.78,1.958,227.5,5.5,4413,2.029,-0.17,54.209999999999994,3.82
HeB,13.24,34.06,4.126,150.9,12.7,4946,2.447,0.24,32.88,3.68
HeB,13.93,30.0,4.075,133.1,13.3,5166,2.401,-0.21,30.490000000000002,2.85
RGB,13.43,65.68,6.382,81.9,20.8,4627,2.717,0.37,25.240000000000002,4.04
HeB,13.29,35.98,4.241,113.0,15.1,4855,2.467,-0.47,31.919999999999998,3.62
HeB,13.08,32.84,3.974,130.4,11.4,4953,2.431,-0.34,33.86,3.76
RGB,13.2,170.06,13.872,46.7,44.1,4921,3.144,0.23,14.48,3.55
RGB,12.89,54.69,5.667,80.5,17.9,4643,2.639,0.02,26.589999999999996,3.74
RGB,13.94,39.5,4.677,104.3,14.2,4937,2.511,-0.6,29.199999999999996,3.36
HeB,10.18,34.06,4.09,117.6,14.6,4862,2.443,0.18,33.01,3.67
RGB,13.25,65.29,6.266,53.9,19.4,4773,2.722,0.05,26.509999999999998,4.5
HeB,12.46,27.26,3.892,96.5,13.0,4952,2.35,-0.19,29.76,2.41
HeB,11.9,22.3,2.983,171.6,8.2,4777,2.255,-0.39,39.45,3.41
RGB,13.75,64.77,6.505,78.3,25.8,4955,2.726,-0.39,24.92,4.02
HeB,12.57,34.04,3.92,111.6,15.9,4629,2.432,0.4,34.63,3.94
RGB,12.12,7.01,1.031,223.7,3.1,4373,1.734,0.37,100.44,6.65
HeB,12.68,27.95,3.775,165.1,12.5,4897,2.359,-0.1,31.93,2.84
HeB,13.72,27.89,4.253,154.3,12.1,5055,2.365,-0.37,25.919999999999998,1.8900000000000001
HeB,13.1,103.03,8.295,34.4,55.4,5055,2.932,0.08,24.949999999999996,6.48
RGB,12.43,170.48,13.082,17.9,87.9,5007,3.149,-0.03,16.41,4.6
RGB,12.67,79.1,7.422,80.2,24.2,4653,2.799,0.3,22.56,3.9000000000000004
RGB,11.6,49.46,5.299,92.9,15.4,4607,2.593,-0.27,27.14,3.51
HeB,10.8,27.23,3.959,100.1,11.5,4891,2.347,-0.69,27.94,2.1100000000000003
HeB,13.26,29.03,3.839,147.1,12.7,4811,2.371,-0.31,31.34,2.81
RGB,13.17,53.45,5.489,68.4,22.7,4679,2.63,0.19,27.96,4.05
RGB,11.99,101.0,8.88,60.5,29.8,4778,2.911,0.11,20.46,4.16
HeB,12.64,36.59,4.2,93.9,14.4,4921,2.477,-0.15,33.71,4.14
RGB,11.55,39.95,4.309,87.7,13.0,4799,2.509,-0.23,34.19,4.59
RGB,13.71,71.56,7.006,68.1,25.3,5089,2.775,-0.42,24.199999999999996,4.25
HeB,15.15,34.23,5.112,92.1,13.4,4971,2.45,-1.12,21.52,1.5899999999999999
HeB,12.79,35.22,4.08,102.3,17.5,4848,2.457,-0.06,34.06,4.04
RGB,12.67,40.34,4.044,81.2,14.5,4785,2.513,0.04,39.45,6.17
HeB,11.61,28.3,3.541,138.7,11.6,4710,2.356,0.22,35.76,3.5200000000000005
HeB,9.21,50.32,5.056,49.8,21.0,4863,2.613,0.0,31.799999999999997,5.04
HeB,12.77,33.12,4.164,128.3,14.3,5018,2.438,0.0,31.69,3.34
RGB,13.5,154.12,12.452,39.6,38.9,5103,3.109,-0.34,16.56,4.279999999999999
HeB,13.14,29.97,4.048,131.5,12.4,4761,2.383,-0.16,29.15,2.49
RGB,13.48,31.22,3.709,153.8,11.7,4623,2.394,0.0,35.300000000000004,3.76
HeB,13.79,36.48,4.078,114.4,15.0,4746,2.467,-0.01,34.79,4.32
HeB,13.66,31.75,3.759,94.5,11.7,4936,2.416,-0.55,36.35,4.18
RGB,11.19,26.15,3.247,143.9,9.4,4549,2.314,0.06,38.2,3.6500000000000004
RGB,13.0,110.23,9.341,52.8,35.4,4763,2.949,0.34,20.18,4.4
HeB,12.81,28.84,4.018,147.5,12.9,4994,2.377,0.21,29.740000000000002,2.56
RGB,12.06,109.27,9.384,38.1,41.6,4943,2.953,-0.03,20.25,4.46
RGB,13.51,67.43,6.276,50.2,19.3,5020,2.747,0.15,28.339999999999996,5.4399999999999995
HeB,12.51,37.76,4.265,85.7,16.2,5031,2.495,0.01,34.34,4.4799999999999995
HeB,11.05,22.02,2.686,81.3,9.2,5096,2.264,-0.39,50.730000000000004,5.75
RGB,13.04,18.51,2.368,248.8,7.5,4462,2.16,-0.22,50.19,4.42
RGB,11.68,95.0,8.06,35.9,28.7,5060,2.897,0.04,24.29,5.67
HeB,10.38,33.7,3.988,121.6,13.8,4963,2.443,-0.18,34.629999999999995,4.04
RGB,10.74,51.65,5.378,81.3,17.1,4681,2.616,-0.01,28.04,3.9400000000000004
HeB,13.02,44.03,4.448,71.6,18.2,4892,2.556,0.22,36.2,5.73
HeB,12.66,31.78,3.582,105.3,13.0,4745,2.408,-0.24,39.04,4.7299999999999995
RGB,12.97,42.03,4.411,86.6,16.2,4746,2.529,-0.07,34.19,4.81
RGB,11.03,21.12,2.568,151.2,8.2,4568,2.222,-0.1,49.49000000000001,4.97
RGB,14.57,38.54,4.203,115.8,13.3,4448,2.477,0.29,33.25,4.039999999999999
RGB,14.68,42.74,4.514,108.7,13.6,4550,2.527,0.13,32.39,4.3
RGB,14.86,57.88,5.724,86.5,16.8,4500,2.656,0.28,27.130000000000003,4.05
